Id,What,Source
Wilhelm Marr,"Coined term “Anti-Semitism”, claimed that Germans and Jews were locked in a racial battle for survival. 	Jews winning and would result in end of the German people. Founded League of Antisemites. Became foundational thinker for Nazi racial “science”. Part of rise in Anti-Semitism that has history in beliefs in Jews as Christ killers, many historical expulsions in Europe and then the rise of Social Darwinism.",2/25 Lecture 20
Social Darwinism,"Conflict its others, Survival of the fittest, Scientific Racism/Nationalism. Eugenics: Human worth is only measured by someones contribution to society. Jews considered inferior, not just in Germany, but in many European countries.",2/25 Lecture 20
Paragraph 48,"During the great depression, many turned to the Nazi and communist parties. There was high taxes, increased tariffs, cuts in government spending. Government unable to reach 
agreements in Reichstag, implementing of Paragraph 48 of the constitution (basically, rule by decree when the Reichstag cannot fulfill it’s duties). Used from 1929 onwards.",2/25 Lecture 20
Beer Hall Putsch,"1923, Munich. Hitler basically tries to pull a Mussolini on the German government, but he fails. He gets arrested for treason and lands in prison for 9 months, where he writes Mein Kampf.",2/25 Lecture 20
Mein Kampf,Hitler’s Racist book that was written in prison.,2/25 Lecture 20
SA (Sturmabteilung),"Storm troopers, brown shirts, not quite as good as SS.",2/25 Lecture 20
Enabling Law,"Amendment passed on 23 March 1933 to the Weimar Constitution that gave the German Cabinet — in effect, Chancellor Adolf Hitler — the power to enact laws without the involvement of the Reichstag. The Enabling Act gave Hitler plenary powers and followed on the heels of the Reichstag Fire Decree, which had abolished most civil liberties and transferred state powers to the Reich government. The combined effect of the two laws was to transform Hitler's government into a legal dictatorship. ",2/25 Lecture 20
1933 Boycott,"Boycott of German products by foreign critics of the Nazi Party in response to an organized campaign of violence and boycotting undertaken by Hitler's Nazi Party against the Jews of Germany following his appointment as Chancellor of Germany on January 30, 1933. Those in the United Kingdom, United States and other places worldwide who opposed Hitler's antisemitic policies developed the boycott and its accompanying protests to encourage Nazi Germany to end the regime's often-expressed anti-Jewish attitude.",2/27 Lecture 21
Röhm Putsch/Night of Long Knives,"A purge that took place in Nazi Germany from June 30 to July 2, 1934, when Adolf Hitler, urged on by Hermann Göring and Heinrich Himmler, carried out a series of political extrajudicial executions intended to consolidate his hold on power in Germany, as well as to alleviate the concerns of the German military about the role of Ernst Röhm and the Sturmabteilung (SA), the Nazis' own mass paramilitary organization. Nazi propaganda presented the murders as a preventive measure against an alleged imminent coup by the SA under Röhm – the so-called Röhm putsch",2/27 Lecture 21
Gleichschaltung,"The process of Nazification by which Adolf Hitler and the Nazi Party successively established a system of totalitarian control and coordination over all aspects of German society, ""from the economy and trade associations to the media, culture and education”. The apex of the Nazification of Germany was in the resolutions approved during the Nuremberg Rally of 1935, when the symbols of the Nazi Party and the State were fused (see Flag of Germany) and German Jews were deprived of their citizenship (see Nuremberg Laws)",2/27 Lecture 21
Nuremberg Laws,"They were enacted by the Reichstag on 15 September 1935, at a special meeting convened during the annual Nuremberg Rally of the Nazi Party (NSDAP). The two laws were the Law for the Protection of German Blood and German Honour, which forbade marriages and extramarital intercourse between Jews and Germans and the employment of German females under 45 in Jewish households; and the Reich Citizenship Law, which declared that only those of German or related blood were eligible to be Reich citizens; the remainder were classed as state subjects, without citizenship rights.[1] A supplementary decree outlining the definition of who was Jewish was passed on 14 November, and the Reich Citizenship Law officially came into force on that date.[2] The laws were expanded on 26 November 1935 to include Romani people. This supplementary decree defined Romanis as ""enemies of the race-based state"", the same category as Jews",2/27 Lecture 21
Reichstag Fire,"The Reichstag fire was an arson attack on the Reichstag building, home of the German parliament in Berlin, on Monday 27 February 1933, precisely four weeks after Adolf Hitler was sworn in as Chancellor of Germany. Hitler's government stated that Marinus van der Lubbe, a Dutch council communist, was found near the building, and they attributed the fire to communist agitators in general—though a German court decided later that year that van der Lubbe had acted alone, as he claimed. After the fire, the Reichstag Fire Decree was passed. The Nazi Party used the fire as a pretext that communists were plotting against the German government, and the event is considered pivotal in the establishment of Nazi Germany. The term ""Reichstag fire"" has come to refer to false flag actions facilitated by an authority to promote their own interests through popular approval of retribution or retraction of civil rights. ",3/4 Lecture 22
Kristallnacht,"Kristallnacht was a pogrom against Jews throughout Nazi Germany on 9–10 November 1938, carried out by SA paramilitary forces and civilians. The German authorities looked on without intervening. The name Kristallnacht comes from the shards of broken glass that littered the streets after the windows of Jewish-owned stores, buildings, and synagogues were smashed. he pretext for the attacks was the assassination of the Nazi German diplomat Ernst vom Rath by Herschel Grynszpan, a seventeen-year-old German-born Polish Jew living in Paris. Kristallnacht was followed by additional economic and political persecution of Jews, and it is viewed by historians as part of Nazi Germany's broader racial policy, and the beginning of the Final Solution and The Holocaust. 100 Jews killed, 26,000 Jewish men arrested, destroyed many synagogues. The Jewish community was forced to pay damages for diplomats death and destruction during Kristallnacht (~$400 million). ",3/4 Lecture 22
Gerater Germany,"Austria 1938, Had own offshoot of Nazi Part (illegal). Hitler was popular, movement towards unified Germany and Austria. On Feb 1938, Hilter meets with Austrian leader Shuschnigg and forced him to accept Nazis into position of political power. After that, Schurschnigg cancels it and resignes. On March 12, 1938, Wehrmacht enters Austria, aiming to create a “Greater Germany”. For Jews, it brought brutal treatment overnight.",3/4 Lecture 22
Munich Conference (1938),"Germany minority in Czechoslovakia, primarily in sudetenland. The Munich Conference was an agreement concluded at Munich, September 29, 1938, by Germany, Great Britain, France and Italy. It provided ""cession to Germany of the Sudeten German territory"" of Czechoslovakia. Most of Europe celebrated because it prevented the war threatened by Adolf Hitler by allowing Nazi Germany's annexation of the Sudetenland, a region of western Czechoslovakia inhabited by 800,000 people, mainly German speakers. Hitler announced it was his last territorial claim in Europe, and the choice seemed to be between war and appeasement. In March 1939, Germany annexes Czechoslovakia and creates a independent Slovak state. This infuriates the west by going beyond, “Self-Determinism”. This causes Britain to create guarantees with Poland, Greece, Romania and Turkey.",3/4 Lecture 22
Blitzkrieg,"Blitzkrieg is a method of warfare whereby an attacking force, spearheaded by a dense concentration of armored and motorized or mechanized infantry formations with close air support, breaks through the opponent's line of defence by short, fast, powerful attacks and then dislocates the defenders, using speed and surprise to encircle them with the help of air superiority.[1][2][3] Through the employment of combined arms in manoeuvre warfare, blitzkrieg attempts to unbalance the enemy by making it difficult for it to respond to the continuously changing front, then defeat it in a decisive Vernichtungsschlacht (battle of annihilation).",3/6 Lecture 23
“Phony War”,"After German invasion of Poland, both France and Britain declare war on Germany. France then just sits behind the Maginot Line instead of deploying troops.",3/6 Lecture 23
Quisling,"Quisling is a term originating in Norway, which is used in Scandinavian languages and in English for a person who collaborates with an enemy occupying force – or more generally as a synonym for traitor. The word originates from the surname of the Norwegian war-time leader Vidkun Quisling, who headed a domestic Nazi collaborationist regime during World War II",3/6 Lecture 23
Maginot Line,"Maginot Line is a line of concrete fortifications, obstacles, and weapon installations built by France in the 1930s to deter invasion by Germany and force them to move around the fortifications. Constructed on the French side of its borders with Italy, Switzerland, Germany, and Luxembourg, the line did not extend to the English Channel due to French strategy that envisioned a move into Belgium to counter a German assault.",3/6 Lecture 23
Operation Barbarossa,"Operation Barbarossa was the code name for the Axis invasion of the Soviet Union, which started on Sunday, 22 June 1941, during World War II. The operation stemmed from Nazi Germany's ideological aims to conquer the western Soviet Union so that it could be repopulated by Germans (Lebensraum), to use Slavs as a slave labour force for the Axis war effort, to murder the rest, and to acquire the oil reserves of the Caucasus and the agricultural resources of Soviet territories",3/6 Lecture 23
