Id,Who,What,When,Where,Why,Details,Source
Nationalism,European Countries,"Rise of nationalism in countries, often exclusionary, notion of nation state",Years before WW1,Europe and World,"Evolution of political nationalism, helped lead to ww1 due to lack of comprimise"," Increasingly exclusionary (Ignorance of others that aren’t the same), but excellent at mobilizing citizens. Introduced notion of “nation state”, previously thought of where you came from.",Lecture 2: Lessons of Imperialism. 1/9
Imperialism,"French, British, Germany, Others (Italy, Russia, Japan, US, Austro-Hungary)","“extension of political or economic control (direct/indirect) by one state over another (mostly in a far away region), possessing a different culture or race, supported by a body of ideas, justifying the process” ",Many Years before WW1,"Globe - Large colonies in Africa, Asia","Led to large control of resources in Europe, Strengthened conservative elements domestically, Sharpened international competition, Raised living standards, But also growing anti-imperial criticism ","British - All-encompassing, based on naval power, “White Man’s burden”
France - Mediterranean proximity, “Mission civilisatrice”, Near war with Britain at Fashoda, 1898
Germany - Latecomer, Grabbing what was left, Upsetting established division",Lecture 2: Lessons of Imperialism. 1/9
Capitalism,European Countries,"Rise of personal enrichment, economic organization and raw materials and production",Years before WW1,Europe and World,"Rise of individualism, better economic output. Tied to capitalism.",,Lecture 2: Lessons of Imperialism. 1/9
Liberalism,"John Locke, European Countries","Notion of rights, liberty and equality for all citizens. Also rise of democracy, rule of law. Rejecting hereditary privilege, free markets.","Age of enlightenment, 18th century",Europe and World,Tied to rise of democracy and liberalism.,,"Lecture 2: Lessons of Imperialism. 1/9
Lecture 3: European Society in 1900 and the Age of Total War. 1/11"
Balance of Power,Five Great Powers,"International system organized around five great powers, Non-system system  conferences and congresses, adjustment through war
 
",Years before WW1,Europe and World,"Change to existing land distributions required war. If one great nation was attacked, it significantly increased the likelihood of others attacking",,Lecture 2: Lessons of Imperialism. 1/9
Conservatism,Conservatives in European countries moving forward with liberal ideas,"Favors tradition in face of forces for change. Status quo, value of a previous time.",20th centry,Europe,Backlash to force for change,,Lecture 3: European Society in 1900 and the Age of Total War. 1/11
Marxism,Karl Marx,"Analyzed class relations, critical of capitalism. Notion of class struggle and that working class should establish socialism — shared ownership of the means of production",Idea in 19th century,Europe and Soviet Union,,,Lecture 3: European Society in 1900 and the Age of Total War. 1/11
Triple Alliance,"Germany, Austria and Italy",Germany and Austria with Italy later in 1882,"1879, Italy in 1882",Europe,,"All independent agreements, no coherent system ",Lecture 4: The Balkan Wars. 1/14
Triple Entente,"France, Russa, English","Franco-Russian in 1894, Franco-English in 1904, all in 1907 ",1907,Europe,,"All independent agreements, no coherent system. Fashoda Crisis, 1904 confirmed Entente Cordiale ",Lecture 4: The Balkan Wars. 1/14
Pan-Slavism,"Russia, Baltic Countries, including Serbia","Notion that Russia should support all slavs, particularly in the Balkans",Russian support after 1903 due to Serbian coup,"Balkans, Russia and Europe",,"Serbia independent since 1878, but not allowed to unite with Bosnia, which the Austrians took control of ",Lecture 4: The Balkan Wars. 1/14
Berlin Treaty of 1878,"Russia, Turkey, Ottoman Empire, Romania, Serbia, Montenegro, Bulgaria ","Ended Russo-Turkish War, De jure recognition of de facto independent Romania, Serbia and Montenegro, Autonomous Bulgaria, increased Austrian influence in area.   
",1878,"Middle East, Eastern Europe",,,Lecture 4: The Balkan Wars. 1/14
Moroccan Crises,Germany (instigator),"1st - Germany, annoyed at Fr annexation demanded open door for commercial interests and pushed for Moroccan independence. Helped dev English and French relationship
2nd - Germans backed sultan after Fr occupied Fez and Rabat","1st - 1905-1906
2nd - 1911",Morocco,Helped dev English and French relationship,,Lecture 4: The Balkan Wars. 1/14
Schlieffen Plan,"Germany, France, Belgium and Russia","Attack France through neutral Belgium, strike before Russia can fully mobilize. Take out Fr in a month","August 1st, 1914","Germany, France, Belgium and Russia",Germany didn’t want to fight on two fronts. Caused Br to join due to the “Rape of Belgium”,"Miscalculated, faster Russian mobilization than expected. Were not able to defeat French on anticipated timeline.",Lecture 5:Winding Road to World War. 1/26
